InsertionSort;MergeSort;QuickSort
1166;9.6E-4;0.141041;0.563138
1167;9.43E-4;0.127784;0.891193
1168;9.52E-4;0.043963;0.763987
1169;9.37E-4;0.037932;0.592026
1170;8.64E-4;0.036686;1.000207
1171;9.37E-4;0.038824;0.596412
1172;9.53E-4;0.03602;0.625205
1173;6.27E-4;0.040631;0.600471
1174;0.001014;0.037175;0.577947
1175;8.98E-4;0.033485;0.555206
1176;9.35E-4;0.033496;0.57095
1177;9.09E-4;0.033709;0.5826
1178;9.0E-4;0.033845;1.050736
1179;9.08E-4;0.033721;0.608458
1180;8.67E-4;0.033755;0.560874
1181;9.65E-4;0.033757;0.611025
1182;9.41E-4;0.033648;0.637896
1183;8.63E-4;0.03375;0.600206
1184;8.18E-4;0.03365;0.591946
1185;8.38E-4;0.046192;0.615387
1186;8.25E-4;0.033843;0.857623
1187;9.05E-4;0.033965;0.841956
1188;8.6E-4;0.034028;0.567287
1189;9.28E-4;0.036202;0.750933
1190;8.91E-4;0.03439;0.825085
1191;6.44E-4;0.034875;0.607134
1192;6.39E-4;0.034875;0.577427
1193;6.42E-4;0.034977;0.587188
1194;6.33E-4;0.035033;0.604339
1195;6.35E-4;0.036211;0.629483
1196;6.37E-4;0.035233;0.591465
1197;6.38E-4;0.035337;0.575637
1198;6.42E-4;0.035336;0.63609
1199;6.43E-4;0.035242;0.779282
1200;6.43E-4;0.035175;0.642708
1201;6.4E-4;0.035579;0.592952
1202;6.35E-4;0.035505;0.581146
1203;0.001549;0.035413;0.583684
1204;0.001057;0.036022;0.58243
1205;9.67E-4;0.035321;0.605197
1206;0.001044;0.037858;0.644961
1207;9.64E-4;0.035648;0.625091
1208;0.001018;0.035548;0.586404
1209;0.001036;0.035794;0.593863
1210;0.001365;0.035969;0.616012
1211;0.002163;0.037496;0.662648
1212;0.003409;0.037589;0.658812
1213;7.84E-4;0.043636;0.632288
1214;0.00107;0.037775;0.631956
1215;0.006331;0.035954;0.604623
1216;8.98E-4;0.036554;0.59399
1217;0.001058;0.035127;0.596723
1218;0.002095;0.035985;0.597259
1219;0.001792;0.035698;0.60302
1220;0.001615;0.035541;0.622004
1221;0.001622;0.035804;0.649544
1222;0.001075;0.038968;0.658375
1223;0.001025;0.038237;0.61738
1224;0.001026;0.037803;1.039637
1225;0.001035;0.037993;0.715738
1226;0.001037;0.037971;0.605119
